Title,ArXiv Link,Paper Date,Date Added
Interpretable Preferences via Multi-Objective Reward Modeling and Mixture-of-Experts,https://arxiv.org/abs/2406.12845,2024-06-18,2024-06-19
Synergizing Foundation Models and Federated Learning - A Survey,https://arxiv.org/abs/2406.12844,2024-06-18,2024-06-19
Demystifying Higher-Order Graph Neural Networks,https://arxiv.org/abs/2406.12841,2024-06-18,2024-06-19
Evaluating the design space of diffusion-based generative models,https://arxiv.org/abs/2406.12839,2024-06-18,2024-06-19
LayerMerge - Neural Network Depth Compression through Layer Pruning and Merging,https://arxiv.org/abs/2406.12837,2024-06-18,2024-06-19
Influence Maximization via Graph Neural Bandits,https://arxiv.org/abs/2406.12835,2024-06-18,2024-06-19
LaMDA - Large Model Fine-Tuning via Spectrally Decomposed Low-Dimensional Adaptation,https://arxiv.org/abs/2406.12832,2024-06-18,2024-06-19
VIA - A Spatiotemporal Video Adaptation Framework for Global and Local Video Editing,https://arxiv.org/abs/2406.12831,2024-06-18,2024-06-19
What Are the Odds? Language Models Are Capable of Probabilistic Reasoning,https://arxiv.org/abs/2406.12830,2024-06-18,2024-06-19
From RAGs to rich parameters - Probing how language models utilize external knowledge over parametric information for factual queries,https://arxiv.org/abs/2406.12824,2024-06-18,2024-06-19
Neural Approximate Mirror Maps for Constrained Diffusion Models,https://arxiv.org/abs/2406.12816,2024-06-18,2024-06-19
Privacy Preserving Federated Learning in Medical Imaging with Uncertainty Estimation,https://arxiv.org/abs/2406.12815,2024-06-18,2024-06-19
Adversarial Attacks on Multimodal Agents,https://arxiv.org/abs/2406.12814,2024-06-18,2024-06-19
Can Large Language Models Always Solve Easy Problems if They Can Solve Harder Ones?,https://arxiv.org/abs/2406.12809,2024-06-18,2024-06-19
Graph Neural Networks in Histopathology - Emerging Trends and Future Directions,https://arxiv.org/abs/2406.12808,2024-06-18,2024-06-19
Probabilistic Temporal Prediction of Continuous Disease Trajectories and Treatment Effects Using Neural SDEs,https://arxiv.org/abs/2406.12807,2024-06-18,2024-06-19
Identifying Performance-Sensitive Configurations in Software Systems through Code Analysis with LLM Agents,https://arxiv.org/abs/2406.12806,2024-06-18,2024-06-19
Scalable Rule Lists Learning with Sampling,https://arxiv.org/abs/2406.12803,2024-06-18,2024-06-19
The Limits of Pure Exploration in POMDPs - When the Observation Entropy is Enough,https://arxiv.org/abs/2406.12795,2024-06-18,2024-06-19
ChatGLM - A Family of Large Language Models from GLM-130B to GLM-4 All Tools,https://arxiv.org/abs/2406.12793,2024-06-18,2024-06-19
Generating Educational Materials with Different Levels of Readability using LLMs,https://arxiv.org/abs/2406.12787,2024-06-18,2024-06-19
In-Context Learning of Energy Functions,https://arxiv.org/abs/2406.12785,2024-06-18,2024-06-19
UBENCH - Benchmarking Uncertainty in Large Language Models with Multiple Choice Questions,https://arxiv.org/abs/2406.12784,2024-06-18,2024-06-19
Composited-Nested-Learning with Data Augmentation for Nested Named Entity Recognition,https://arxiv.org/abs/2406.12779,2024-06-18,2024-06-19
Hopping Too Late - Exploring the Limitations of Large Language Models on Multi-Hop Queries,https://arxiv.org/abs/2406.12775,2024-06-18,2024-06-19
Towards Exact Gradient-based Training on Analog In-memory Computing,https://arxiv.org/abs/2406.12774,2024-06-18,2024-06-19
First-Order Methods for Linearly Constrained Bilevel Optimization,https://arxiv.org/abs/2406.12771,2024-06-18,2024-06-19
Formatics & dairy industry coalition - AI trends and present challenges,https://arxiv.org/abs/2406.12770,2024-06-18,2024-06-19
Latent Intuitive Physics - Learning to Transfer Hidden Physics from A 3D Video,https://arxiv.org/abs/2406.12769,2024-06-18,2024-06-19
Quasi-Bayes meets Vines,https://arxiv.org/abs/2406.12764,2024-06-18,2024-06-19
Implicit Bias of Mirror Flow on Separable Data,https://arxiv.org/abs/2406.12763,2024-06-18,2024-06-19
Unsupervised explainable activity prediction in competitive Nordic Walking from experimental data,https://arxiv.org/abs/2406.12762,2024-06-18,2024-06-19
GFM4MPM - Towards Geospatial Foundation Models for Mineral Prospectivity Mapping,https://arxiv.org/abs/2406.12756,2024-06-18,2024-06-19
Chumor 1.0 - A Truly Funny and Challenging Chinese Humor Understanding Dataset from Ruo Zhi Ba,https://arxiv.org/abs/2406.12754,2024-06-18,2024-06-19
OlympicArena - Benchmarking Multi-discipline Cognitive Reasoning for Superintelligent AI,https://arxiv.org/abs/2406.12753,2024-06-18,2024-06-19
Extracting Training Data from Unconditional Diffusion Models,https://arxiv.org/abs/2406.12752,2024-06-18,2024-06-19
TSI-Bench - Benchmarking Time Series Imputation,https://arxiv.org/abs/2406.12747,2024-06-18,2024-06-19
Rationale-based Ensemble of Multiple QA Strategies for Zero-shot Knowledge-based VQA,https://arxiv.org/abs/2406.12746,2024-06-18,2024-06-19
Ensuring Both Positivity and Stability Using Sector-Bounded Nonlinearity for Systems with Neural Network Controllers,https://arxiv.org/abs/2406.12744,2024-06-18,2024-06-19
"Benchmarking Multi-Image Understanding in Vision and Language Models - Perception, Knowledge, Reasoning, and Multi-Hop Reasoning",https://arxiv.org/abs/2406.12742,2024-06-18,2024-06-19
Self-Distillation for Model Stacking Unlocks Cross-Lingual NLU in 200+ Languages,https://arxiv.org/abs/2406.12739,2024-06-18,2024-06-19
Large Language Model as a Universal Clinical Multi-task Decoder,https://arxiv.org/abs/2406.12738,2024-06-18,2024-06-19
Beyond Visual Appearances - Privacy-sensitive Objects Identification via Hybrid Graph Reasoning,https://arxiv.org/abs/2406.12736,2024-06-18,2024-06-19
Automatic generation of insights from workers' actions in industrial workflows with explainable Machine Learning,https://arxiv.org/abs/2406.12732,2024-06-18,2024-06-19
Predicting the energetic proton flux with a machine learning regression algorithm,https://arxiv.org/abs/2406.12730,2024-06-18,2024-06-19
Can Large Language Models Code Like a Linguist? - A Case Study in Low Resource Sound Law Induction,https://arxiv.org/abs/2406.12725,2024-06-18,2024-06-19
BIOSCAN-5M - A Multimodal Dataset for Insect Biodiversity,https://arxiv.org/abs/2406.12723,2024-06-18,2024-06-19
On the Robustness of Language Models for Tabular Question Answering,https://arxiv.org/abs/2406.12719,2024-06-18,2024-06-19
AGLA - Mitigating Object Hallucinations in Large Vision-Language Models with Assembly of Global and Local Attention,https://arxiv.org/abs/2406.12718,2024-06-18,2024-06-19
